step,plants,prey,predators,total_agents
1,121,50,20,70
2,144,49,20,69
3,160,49,20,69
4,176,49,20,69
5,193,49,20,69
6,204,49,20,69
7,217,49,20,69
8,225,49,20,69
9,231,49,20,69
10,239,49,20,69
11,252,50,20,70
12,259,49,20,69
13,266,49,20,69
14,271,50,20,70
15,276,50,20,70
16,279,50,20,70
17,283,50,20,70
18,288,50,20,70
19,290,50,20,70
20,295,50,20,70
21,296,50,20,70
22,299,50,20,70
23,300,50,20,70
24,302,50,19,69
25,305,50,19,69
26,307,50,1,51
27,311,50,1,51
28,314,50,1,51
29,316,50,1,51
30,318,50,1,51
31,320,50,1,51
32,323,50,1,51
33,325,50,1,51
34,327,50,1,51
35,327,10,1,11
36,335,10,1,11
37,342,10,1,11
38,345,10,1,11
39,348,10,1,11
40,350,10,1,11
41,353,9,0,9
42,362,9,0,9
43,363,9,0,9
44,367,9,0,9
45,367,9,0,9
46,369,9,0,9
47,371,9,0,9
48,373,4,0,4
49,375,4,0,4
50,376,4,0,4
51,381,4,0,4
52,384,4,0,4
53,385,4,0,4
54,386,4,0,4
55,387,4,0,4
56,389,4,0,4
57,390,4,0,4
58,392,4,0,4
59,393,4,0,4
60,393,4,0,4
61,394,2,0,2
62,396,1,0,1
63,397,1,0,1
64,397,1,0,1
65,397,1,0,1
66,397,1,0,1
67,397,1,0,1
68,397,0,0,0
