symbol,date,open,high,low,close,network,close_next,lag_1,lag_2,lag_3,lag_5,lag_7,lag_14,roll_mean_7,roll_std_7,roll_mean_30,roll_std_30,roll_mean_60,roll_std_60,ret_1,ret_7
BTCUSDT,2018-09-29,6634.58,6636.0,6464.57,6596.38,Bitcoin,6626.57,6634.58,6689.13,6465.12,6581.39,6723.05,6514.96,6588.877142857143,101.4347163966802,6606.182,323.1794414381525,6635.3845,366.70446160465906,-0.005757711867216853,-0.018841150965707487
BTCUSDT,2018-09-30,6597.66,6662.0,6533.0,6626.57,Bitcoin,6611.61,6596.38,6634.58,6689.13,6447.54,6708.0,6505.0,6577.244285714286,89.45878284757856,6593.3606666666665,314.0579773943944,6619.084333333333,343.9218875562098,0.004576752703755682,-0.012139236732260028
BTCUSDT,2018-10-01,6626.57,6667.09,6510.0,6611.61,Bitcoin,6525.79,6626.57,6596.38,6634.58,6465.12,6581.39,6248.69,6581.561428571427,90.4162543330446,6573.747333333333,292.4986956049126,6603.849333333334,322.6692978932736,-0.0022575782041086567,0.0045917351805619955
BTCUSDT,2018-10-02,6610.0,6640.0,6494.0,6525.79,Bitcoin,6510.0,6611.61,6626.57,6596.38,6689.13,6447.54,6336.45,6592.74,74.52581208323305,6547.873333333334,258.17386542503965,6588.966166666666,304.5280822935642,-0.012980196956565715,0.012136411716716866
BTCUSDT,2018-10-03,6525.79,6549.0,6430.0,6510.0,Bitcoin,6593.79,6525.79,6611.61,6626.57,6634.58,6465.12,6391.89,6599.151428571428,62.710815502200546,6522.772666666667,220.0358065991715,6580.6355,299.616723891273,-0.002419630420224972,0.006941866508278327
BTCUSDT,2018-10-04,6510.01,6643.46,6505.09,6593.79,Bitcoin,6635.65,6510.0,6525.79,6611.61,6596.38,6689.13,6492.0,6585.531428571428,48.69967331462407,6497.263666666667,154.27277842171324,6573.462166666667,293.91529209235586,0.012870967741935413,-0.014252974602078305
BTCUSDT,2018-10-05,6591.69,6697.0,6543.08,6635.65,Bitcoin,6594.27,6593.79,6510.0,6525.79,6626.57,6634.58,6759.02,6585.684285714286,48.88062733404871,6495.118666666666,151.78402763939886,6568.476,290.1951963776767,0.0063483975073515,0.00016127622245853956
BTCUSDT,2018-10-06,6635.65,6651.0,6566.77,6594.27,Bitcoin,6615.26,6635.65,6593.79,6510.0,6611.61,6596.38,6723.05,6585.382857142856,48.810133071678,6497.727333333333,152.82441188667062,6566.3795,289.53515552139265,-0.006236013050718303,-0.00031987241486997053
BTCUSDT,2018-10-07,6596.44,6640.0,6525.0,6615.26,Bitcoin,6673.01,6594.27,6635.65,6593.79,6525.79,6626.57,6708.0,6583.767142857142,47.38593979731671,6505.051333333334,153.0231188918957,6571.883833333334,287.2252641565547,0.0031830665107737133,-0.0017067653401381389
BTCUSDT,2018-10-08,6615.26,6715.6,6587.0,6673.01,Bitcoin,6656.61,6615.26,6594.27,6635.65,6510.0,6611.61,6581.39,6592.538571428571,57.91237761438473,6521.316666666667,143.471564029456,6574.270833333333,287.4645308838002,0.008729815608154556,0.009286694163751497
BTCUSDT,2018-10-09,6673.01,6685.38,6607.0,6656.61,Bitcoin,6631.0,6673.01,6615.26,6594.27,6593.79,6525.79,6447.54,6611.227142857143,53.74011249034385,6534.843333333333,136.024834049381,6582.814166666666,282.026311293833,-0.002457661535049449,0.020046615045841154
BTCUSDT,2018-10-10,6656.67,6659.95,6530.0,6631.0,Bitcoin,6252.68,6656.61,6673.01,6615.26,6635.65,6510.0,6465.12,6628.512857142858,29.945667863784116,6545.4766666666665,130.35426912135088,6589.458333333333,278.3011300680891,-0.003847303657567358,0.018586789554531524
BTCUSDT,2018-10-11,6630.21,6633.92,6205.0,6252.68,Bitcoin,6298.01,6631.0,6656.61,6673.01,6594.27,6593.79,6689.13,6579.782857142857,146.51668138409445,6544.069,133.347047427331,6588.530833333333,279.3447087308157,-0.05705323480621316,-0.05173200845037518
BTCUSDT,2018-10-12,6252.71,6360.0,6209.0,6298.01,Bitcoin,6332.93,6252.68,6631.0,6656.61,6615.26,6635.65,6634.58,6531.548571428572,177.38461446139567,6542.715333333333,135.6901114668483,6589.391833333333,278.35000111426444,0.007249691332356756,-0.0508827319102122
BTCUSDT,2018-10-13,6298.0,6345.0,6285.07,6332.93,Bitcoin,6339.34,6298.01,6252.68,6631.0,6673.01,6594.27,6596.38,6494.214285714287,189.09883913420467,6537.567,140.69962025167735,6591.806,275.42313998891996,0.005544608535076989,-0.03963137693785668
BTCUSDT,2018-10-14,6332.92,6416.0,6308.0,6339.34,Bitcoin,6752.5,6332.93,6298.01,6252.68,6656.61,6615.26,6626.57,6454.797142857143,188.4180755407383,6532.990666666667,144.91941301463544,6593.009000000001,274.135735269092,0.0010121697223874904,-0.04170962290219882
BTCUSDT,2018-10-15,6339.34,7680.0,6300.0,6752.5,Bitcoin,6759.27,6339.34,6332.93,6298.01,6631.0,6673.01,6611.61,6466.152857142857,205.3921864559165,6540.908666666666,150.29004745384447,6600.354833333334,272.3708450791393,0.06517397710171724,0.011912165574455846
BTCUSDT,2018-10-16,6752.5,6900.0,6670.0,6759.27,Bitcoin,6740.89,6752.5,6339.34,6332.93,6252.68,6656.61,6525.79,6480.818571428572,224.07359486178834,6549.384333333333,155.28205530989385,6603.267833333333,273.1318661105963,0.0010025916327287554,0.015422264485977166
BTCUSDT,2018-10-17,6762.76,6811.12,6676.01,6740.89,Bitcoin,6618.96,6759.27,6752.5,6339.34,6298.01,6631.0,6510.0,6496.517142857143,239.65649930085772,6565.791,148.25943724919722,6609.15,272.21521786499795,-0.002719228555746467,0.016572161061680024
BTCUSDT,2018-10-18,6739.01,6796.0,6567.0,6618.96,Bitcoin,6528.88,6740.89,6759.27,6752.5,6332.93,6252.68,6593.79,6548.842857142858,216.40288982314584,6575.208,142.03134827359085,6611.507166666666,271.66796168685505,-0.018088115960948836,0.058579681032773
BTCUSDT,2018-10-19,6618.96,6648.14,6523.0,6528.88,Bitcoin,6588.4,6618.96,6740.89,6759.27,6339.34,6298.01,6635.65,6581.824285714285,187.46032263362778,6579.774333333333,138.08161820992495,6616.074500000001,267.8467039401648,-0.013609388786153698,0.03665761089614028
BTCUSDT,2018-10-20,6528.88,6617.65,6505.55,6588.4,Bitcoin,6590.11,6528.88,6618.96,6740.89,6752.5,6332.93,6594.27,6618.32,152.54482936719205,6582.987666666667,137.08665376029714,6617.881166666667,267.2782882118624,0.009116418129908821,0.04033993743812103
BTCUSDT,2018-10-21,6585.72,6663.9,6580.0,6590.11,Bitcoin,6581.2,6588.4,6528.88,6618.96,6759.27,6339.34,6615.26,6654.144285714286,94.51795012185323,6577.357333333333,133.0156970496694,6621.701499999999,265.17261403339745,0.00025954708275155447,0.039557745759022156
BTCUSDT,2018-10-22,6590.12,6639.0,6535.27,6581.2,Bitcoin,6553.51,6590.11,6588.4,6528.88,6740.89,6752.5,6673.01,6629.672857142857,86.65729815663899,6572.629000000001,130.14842893457535,6622.638,264.9244504446313,-0.0013520259904614695,-0.025368382080710905
BTCUSDT,2018-10-23,6581.2,6595.0,6515.45,6553.51,Bitcoin,6565.5,6581.2,6590.11,6588.4,6618.96,6759.27,6656.61,6600.278571428571,68.330224017523,6567.479333333334,127.63963950103569,6620.5025000000005,264.95719913150174,-0.004207439372758692,-0.03044115710720241
BTCUSDT,2018-10-24,6553.51,6630.0,6547.53,6565.5,Bitcoin,6528.09,6553.51,6581.2,6590.11,6528.88,6740.89,6631.0,6575.222857142857,29.033229648262576,6566.949666666666,127.61289042778424,6617.7001666666665,264.6292808817117,0.0018295539336934397,-0.026018819473393018
BTCUSDT,2018-10-25,6566.81,6575.09,6502.8,6528.09,Bitcoin,6538.63,6565.5,6553.51,6581.2,6588.4,6618.96,6252.68,6562.2414285714285,26.415010523406128,6569.634666666666,125.84905747412945,6614.835000000001,264.65375174021176,-0.0056979666438199406,-0.013728742884078438
BTCUSDT,2018-10-26,6528.13,6600.0,6515.01,6538.63,Bitcoin,6505.6,6528.09,6565.5,6553.51,6590.11,6528.88,6298.01,6563.634285714286,24.55419506392682,6572.085,124.45182180265694,6608.668166666667,261.98909681991404,0.0016145610737596794,0.0014933648650303777
BTCUSDT,2018-10-27,6538.63,6558.35,6463.04,6505.6,Bitcoin,6489.93,6538.63,6528.09,6565.5,6581.2,6588.4,6332.93,6551.805714285714,29.979668030807787,6565.967333333333,123.00229467815747,6599.159666666667,254.9960255387625,-0.005051516907976117,-0.012567542954283195
BTCUSDT,2018-10-28,6505.6,6514.17,6453.0,6489.93,Bitcoin,6344.5,6505.6,6538.63,6528.09,6553.51,6590.11,6339.34,6537.494285714286,32.4559952639087,6561.145666666666,123.05506117415523,6590.138166666667,248.95466710397977,-0.0024086940482046515,-0.015201567196905574
