Date,Country,USD_ExchangeRate,Policy_Rate(%),10Y_Bond_Yield(%),Yield_Spread(10Y_vs_US)(%),Equity_Index_Level,Oil_Price(USD_per_bbl)
2020-01-01,Turkey,7.005,5.0,7.32,4.17,998.83,69.95
2020-01-02,Turkey,7.016,5.02,6.78,3.73,997.68,69.91
2020-01-03,Turkey,7.002,4.96,6.1,3.16,994.94,70.06
2020-01-06,Turkey,6.991,4.97,7.7,4.73,1000.34,69.72
2020-01-07,Turkey,6.995,5.0,6.43,3.39,997.0,69.94
2020-01-08,Turkey,6.994,5.04,7.03,4.14,1004.11,69.76
2020-01-09,Turkey,7.002,4.96,6.3,3.28,1003.69,70.03
2020-01-10,Turkey,6.999,4.99,6.25,3.33,997.7,70.21
2020-01-13,Turkey,7.003,4.96,7.13,4.17,996.62,70.12
2020-01-14,Turkey,7.01,5.02,6.6,3.63,1001.66,70.2
2020-01-15,Turkey,6.995,5.0,6.44,3.56,1004.06,70.27
2020-01-16,Turkey,6.999,5.02,7.2,4.27,1001.81,70.31
2020-01-17,Turkey,7.0,5.03,5.72,2.64,1000.44,69.94
2020-01-20,Turkey,7.001,4.96,6.85,3.81,1007.39,69.9
2020-01-21,Turkey,6.992,4.99,7.45,4.41,997.35,70.1
2020-01-22,Turkey,7.001,5.02,6.67,3.7,998.04,69.71
2020-01-23,Turkey,7.003,5.01,7.01,4.03,992.92,69.92
2020-01-24,Turkey,6.997,4.98,6.9,3.86,1009.43,70.03
2020-01-27,Turkey,7.003,5.0,6.04,3.04,1000.3,70.49
2020-01-28,Turkey,6.998,5.01,6.99,4.11,1005.71,70.15
2020-01-29,Turkey,7.008,4.98,7.68,4.82,1002.93,70.44
2020-01-30,Turkey,6.99,4.99,7.04,4.09,992.25,70.01
2020-01-31,Turkey,6.989,5.01,6.55,3.39,996.08,69.94
2020-02-03,Turkey,7.008,4.98,7.09,3.96,991.96,70.04
2020-02-04,Turkey,7.003,5.02,6.4,3.53,1002.61,70.06
2020-02-05,Turkey,7.003,5.01,6.67,3.64,1001.47,69.86
2020-02-06,Turkey,7.019,5.01,6.41,3.35,995.13,70.16
2020-02-07,Turkey,7.012,4.98,7.47,4.42,1004.11,70.38
2020-02-10,Turkey,6.998,4.98,6.54,3.62,999.61,70.07
2020-02-11,Turkey,7.003,5.02,7.02,3.88,998.68,70.54
2020-02-12,Turkey,7.006,4.98,6.45,3.4,998.88,70.14
2020-02-13,Turkey,7.005,5.0,6.58,3.73,997.77,70.17
2020-02-14,Turkey,7.002,4.98,7.06,4.02,995.58,70.03
2020-02-17,Turkey,7.001,4.98,7.16,4.1,1005.42,70.21
2020-02-18,Turkey,6.986,4.98,7.24,4.19,1002.58,70.77
2020-02-19,Turkey,7.006,5.02,7.5,4.43,998.42,70.15
2020-02-20,Turkey,6.992,5.0,6.75,3.74,1011.57,69.63
2020-02-21,Turkey,7.007,4.97,6.73,3.62,1000.32,69.78
2020-02-24,Turkey,6.993,5.01,6.65,3.63,1000.23,69.87
2020-02-25,Turkey,7.021,5.01,6.0,2.98,996.69,70.17
2020-02-26,Turkey,6.992,5.0,7.25,4.16,994.0,69.93
2020-02-27,Turkey,6.995,4.99,7.87,4.83,993.7,70.18
2020-02-28,Turkey,7.021,5.02,6.26,3.31,1006.33,69.86
2020-03-02,Turkey,7.004,5.02,6.55,3.56,983.79,69.8
2020-03-03,Turkey,6.997,4.98,7.79,4.93,997.8,70.03
2020-03-04,Turkey,7.014,4.97,7.55,4.55,995.09,70.09
2020-03-05,Turkey,7.002,4.99,7.02,4.06,1000.57,70.13
2020-03-06,Turkey,7.016,4.98,8.04,5.24,999.24,70.12
2020-03-09,Turkey,7.003,4.99,6.88,3.93,997.05,70.17
2020-03-10,Turkey,7.004,4.99,7.44,4.41,1004.06,70.13
2020-03-11,Turkey,6.992,4.99,7.36,4.3,999.9,70.02
2020-03-12,Turkey,7.013,4.99,7.26,4.28,998.91,70.22
2020-03-13,Turkey,7.008,5.02,7.67,4.67,1003.41,69.94
2020-03-16,Turkey,7.003,5.0,7.05,3.99,995.91,70.42
2020-03-17,Turkey,6.99,4.98,7.55,4.48,1003.12,70.13
2020-03-18,Turkey,7.0,4.98,7.02,4.09,1004.88,69.97
2020-03-19,Turkey,6.992,4.99,7.2,4.26,995.89,70.05
2020-03-20,Turkey,7.002,4.99,6.75,3.73,992.76,69.72
2020-03-23,Turkey,6.993,5.0,7.15,4.0,1004.29,69.97
2020-03-24,Turkey,7.0,4.98,6.97,4.0,1001.61,69.83
2020-03-25,Turkey,7.005,5.03,6.98,3.94,1003.45,69.92
