myear,fuel,transmission,km,body,Color,Engine Type,No of Cylinder,Length,Width,Height,Seats,Gear Box,Drive Type,Steering Type,owner_type,state,City,listed_price
2016,cng,manual,69162.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,uttar pradesh,lucknow,370000.0
2015,cng,manual,45864.0,hatchback,grey,k10b engine,3.0,3600.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,365000.0
2015,cng,manual,81506.0,sedan,silver,i-vtec petrol engine,4.0,3990.0,1680.0,1505.0,5.0,5 speed,fwd,power,second,delhi,new delhi,421000.0
2013,cng,manual,115893.0,hatchback,silver,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,second,delhi,new delhi,240000.0
2022,cng,manual,18900.0,muv,white,k15c,4.0,4395.0,1735.0,1690.0,7.0,5 speed,2wd,,first,maharashtra,mumbai,1175000.0
2012,cng,manual,60000.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,delhi,new delhi,250000.0
2010,cng,manual,67000.0,hatchback,blue,in line engine,3.0,3495.0,1475.0,1460.0,5.0,5 speed,2wd,power,first,delhi,new delhi,145000.0
2017,cng,manual,58000.0,hatchback,grey,kappa vtvt petrol engine,4.0,3765.0,1660.0,1520.0,5.0,5 speed,fwd,power,first,delhi,new delhi,465000.0
2021,cng,manual,54097.0,hatchback,silver,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,haryana,gurgaon,560000.0
2011,cng,manual,67000.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,delhi,new delhi,215000.0
2018,cng,manual,98083.0,hatchback,silky silver,k10b engine,3.0,3695.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,pune,425000.0
2019,cng,manual,80000.0,hatchback,white,k10b engine,3.0,3695.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,uttar pradesh,agra,380000.0
2017,cng,manual,39000.0,muv,silver,k14b petrol engine,4.0,4296.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,maharashtra,mumbai,795000.0
2014,cng,manual,34889.0,hatchback,bakers chocolate,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,pune,350000.0
2022,cng,manual,31758.0,hatchback,silky silver,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,delhi,new delhi,650000.0
2021,cng,manual,23000.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,uttar pradesh,ghaziabad,599000.0
2014,cng,manual,60000.0,hatchback,white,kappa vtvt petrol engine,4.0,3765.0,1660.0,1520.0,5.0,5 speed,fwd,power,second,delhi,new delhi,425000.0
2016,cng,manual,43413.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,delhi,new delhi,317736.0
2020,cng,manual,60000.0,muv,white,k15b,4.0,4395.0,1735.0,1690.0,7.0,5 speed,fwd,,first,karnataka,bangalore,1000000.0
2014,cng,manual,67720.0,hatchback,cerulean blue,k10b engine,3.0,3600.0,1600.0,1560.0,5.0,5 speed,fwd,power,third,maharashtra,pune,317400.0
2013,cng,manual,99821.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,pune,250000.0
2014,cng,manual,67477.0,hatchback,grey,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,pune,380000.0
2021,cng,manual,24158.0,hatchback,silky silver,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,uttar pradesh,lucknow,600000.0
2014,cng,manual,35000.0,hatchback,white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,delhi,new delhi,325000.0
2021,cng,manual,37000.0,sedan,white,vvt,4.0,3995.0,1695.0,1555.0,5.0,,,power,second,punjab,ludhiana,600000.0
2021,cng,manual,32530.0,hatchback,brown,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,second,maharashtra,mumbai,613000.0
2016,cng,manual,90300.0,hatchback,grey,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,second,maharashtra,mumbai,285000.0
2019,cng,manual,43000.0,hatchback,white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,delhi,new delhi,424999.0
2021,cng,manual,28061.0,hatchback,white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,karnataka,bangalore,613000.0
2012,cng,manual,60000.0,hatchback,,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,assam,guwahati,250000.0
2020,cng,manual,40000.0,hatchback,white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,uttar pradesh,kanpur,600000.0
2017,cng,manual,95000.0,minivans,white,in-line engine,4.0,3675.0,1475.0,1800.0,5.0,5 speed,rwd,manual,first,maharashtra,mumbai,341000.0
2017,cng,manual,40594.0,hatchback,blue,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,pune,439112.0
2012,cng,manual,91495.0,hatchback,grey,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,delhi,new delhi,200000.0
2006,cng,manual,70000.0,hatchback,gray,,4.0,,,,5.0,,,power,second,uttar pradesh,lucknow,90000.0
2020,cng,manual,37900.0,hatchback,prime pool side blue,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,534000.0
2015,cng,manual,80000.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,mira road,395000.0
2015,cng,manual,70000.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,mira road,385000.0
2018,cng,manual,80000.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,fourth,haryana,sonipat,250000.0
2018,cng,manual,200000.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,mumbai,325000.0
2010,cng,manual,57000.0,hatchback,white,k series petrol engine,3.0,3600.0,1475.0,1595.0,5.0,5 speed,fwd,power,second,maharashtra,mira road,195000.0
2016,cng,manual,30087.0,muv,granite grey,k14b petrol engine,4.0,4296.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,haryana,gurgaon,600000.0
2017,cng,manual,57953.0,minivans,white,in-line engine,4.0,3675.0,1475.0,1825.0,5.0,5 speed,rwd,manual,second,delhi,new delhi,350000.0
2013,cng,manual,74000.0,hatchback,brown,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,second,maharashtra,thane,305000.0
2021,cng,manual,30000.0,,white,g12b,4.0,3675.0,1475.0,1825.0,2.0,5 speed,,,first,haryana,dharuhera,500000.0
2015,cng,manual,70000.0,hatchback,other,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,uttar pradesh,kanpur,320000.0
2014,cng,manual,41558.0,muv,granite grey,k series engine,4.0,4265.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,maharashtra,pune,570000.0
2015,cng,manual,45834.0,hatchback,granite grey,k series petrol engine,3.0,3545.0,1515.0,1475.0,4.0,5 speed,fwd,power,first,uttar pradesh,noida,260000.0
2015,cng,manual,90309.0,muv,silver,k series engine,4.0,4265.0,1695.0,1685.0,7.0,5 speed,fwd,power,first,maharashtra,mumbai,715000.0
2019,cng,manual,89132.0,hatchback,silky silver,f8d petrol engine,3.0,3445.0,1490.0,1475.0,5.0,5 speed,fwd,power,first,uttar pradesh,ghaziabad,330000.0
2018,cng,manual,92000.0,hatchback,white,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,haryana,gurgaon,410000.0
2013,cng,manual,80000.0,hatchback,silver,k10b petrol engine,3.0,3655.0,1620.0,1675.0,5.0,5 speed,fwd,power,first,delhi,new delhi,290000.0
2021,cng,manual,40000.0,sedan,white,1.2 l bi-fuel,4.0,3995.0,1680.0,1520.0,5.0,5 speed,,power,first,maharashtra,nashik,750000.0
2013,cng,manual,58000.0,hatchback,brown,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,mumbai,285000.0
2011,cng,manual,157612.0,hatchback,grey,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,uttar pradesh,ghaziabad,140974.0
2015,cng,manual,73000.0,hatchback,brown,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,maharashtra,aurangabad,310000.0
2020,cng,manual,30000.0,minivans,white,g12b,4.0,3675.0,1475.0,1825.0,5.0,5 speed,,manual,first,gujarat,rajkot,500000.0
2017,cng,manual,77304.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,uttar pradesh,ghaziabad,317736.0
2021,cng,manual,25000.0,hatchback,silver,1.2 kappa petrol,4.0,3805.0,1680.0,1520.0,5.0,5 speed,,power,first,delhi,new delhi,725000.0
2019,cng,manual,37334.0,hatchback,arctic white,k10b engine,3.0,3695.0,1600.0,1560.0,5.0,5 speed,fwd,power,first,maharashtra,pune,450000.0
2013,cng,manual,46483.0,sedan,maroon,sohc i-vtec,4.0,4440.0,1695.0,1485.0,5.0,5 speed,fwd,power,second,maharashtra,mumbai,395000.0
2014,cng,manual,90000.0,hatchback,gray,k10b engine,3.0,3600.0,1600.0,1560.0,5.0,5 speed,fwd,power,third,gujarat,navsari,350000.0
2018,cng,manual,77452.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,uttar pradesh,ghaziabad,366738.0
2021,cng,manual,31431.0,minivans,metallic glistening grey,g12b,4.0,3675.0,1475.0,1825.0,5.0,5 speed,,manual,first,maharashtra,pune,606845.0
2011,cng,manual,167611.0,hatchback,silky silver,k series petrol engine,3.0,3595.0,1475.0,1700.0,5.0,5 speed,fwd,power,first,haryana,gurgaon,140974.0
2021,cng,manual,12500.0,minivans,white,g12b,4.0,3675.0,1475.0,1825.0,5.0,5 speed,,manual,second,telangana,ranga reddy,550000.0
2021,cng,manual,15000.0,hatchback,white,f8d petrol engine,3.0,3445.0,1515.0,1475.0,4.0,5 speed,,,first,punjab,bathinda,400000.0
2022,cng,manual,35000.0,hatchback,white,1.1 l bi-fuel,4.0,3610.0,1645.0,1560.0,5.0,5 speed,fwd,power,first,chandigarh,chandigarh,560000.0
2013,cng,manual,60000.0,hatchback,white,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,third,rajasthan,behror,230000.0
2022,cng,manual,10000.0,hatchback,midnight plum,1.2 l i-cng,3.0,3765.0,1677.0,1535.0,5.0,5 speed,,power,first,uttar pradesh,agra,740000.0
2015,cng,manual,135000.0,minivans,white,in-line engine,4.0,3675.0,1475.0,1800.0,5.0,5 speed,rwd,manual,third,gujarat,porbandar,315000.0
2021,cng,manual,50000.0,minivans,gray,g12b,4.0,3675.0,1475.0,1825.0,5.0,5 speed,,manual,first,gujarat,amreli,570000.0
2013,cng,manual,70000.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,third,maharashtra,mumbai,245000.0
2022,cng,manual,10000.0,hatchback,black,1.2 l i-cng,3.0,3765.0,1677.0,1535.0,5.0,5 speed,,power,first,uttar pradesh,agra,720000.0
2011,cng,manual,80000.0,hatchback,white,in line engine,3.0,3495.0,1475.0,1460.0,5.0,5 speed,2wd,power,fourth,gujarat,ankleshwar,120000.0
2020,cng,manual,70000.0,muv,white,k15b,4.0,4395.0,1735.0,1690.0,7.0,5 speed,fwd,,first,uttar pradesh,budaun,950000.0
2019,cng,manual,50000.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,second,uttar pradesh,kanpur,440000.0
2022,cng,manual,25000.0,hatchback,silver,k10c,3.0,3655.0,1620.0,1675.0,5.0,,,power,first,maharashtra,ahmednagar,640000.0
2021,cng,manual,18734.0,sedan,white,1.2 l bi-fuel,4.0,3995.0,1680.0,1520.0,5.0,5 speed,,power,first,haryana,gurgaon,725000.0
2022,cng,manual,5000.0,hatchback,white,f8d petrol engine,3.0,3445.0,1515.0,1475.0,4.0,5 speed,,,first,uttar pradesh,allahabad,500000.0
2013,cng,manual,101232.0,hatchback,silver,k10b engine,3.0,3599.0,1495.0,1700.0,5.0,5 speed,fwd,power,first,maharashtra,pune,280000.0
