Cars Names,HorsePower_clean,TopSpeed_clean,Accel_clean,Cluster
SF90 STRADALE,963.0,340.0,2.5,2
PHANTOM,563.0,250.0,5.3,2
KA+,77.5,165.0,10.5,1
 GT 63 S,630.0,250.0,3.2,2
AUDI R8 Gt,602.0,320.0,3.6,2
Mclaren 720s,710.0,341.0,2.9,2
VANTAGE F1,656.0,314.0,3.6,2
Continental GT Azure,550.0,318.0,4.0,2
VENENO ROADSTER,750.0,356.0,2.9,2
F8 TRIBUTO,710.0,340.0,2.9,2
812 GTS,789.0,340.0,2.9,2
PORTOFINO,592.0,320.0,3.2,2
ROMA,612.0,320.0,3.4,2
MONZA SP2,789.0,340.0,2.9,2
F8 SPIDER,710.0,340.0,2.9,2
PORTOFINO M,612.0,320.0,3.2,2
ROMA SPIDER,612.0,320.0,3.4,2
GR SUPRA,382.0,250.0,4.1,0
TOYOTA 86,205.0,226.0,6.4,0
TOYOTA  GR86,228.0,226.0,5.6,0
TOYOTA LAND CRUISER,381.0,220.0,6.7,0
TOYOTA SEQUOIA,381.0,200.0,6.9,0
GT-R,600.0,315.0,2.9,2
370Z,332.0,250.0,4.7,0
Z PROTO,400.0,290.0,4.1,2
ALTIMA,188.0,225.0,7.3,0
MAXIMA,300.0,240.0,5.8,0
SENTRA,149.0,200.0,8.2,0
ROGUE,201.0,200.0,7.5,0
PATHFINDER,284.0,225.0,6.5,0
FRONTIER,310.0,180.0,6.8,0
TITAN,400.0,200.0,5.9,0
VALKYRIE,1160.0,402.0,2.5,2
VALHALLA,1000.0,362.0,2.5,2
DBS SUPERLEGGERA,715.0,340.0,3.4,2
DB11,600.0,322.0,3.9,2
VANTAGE ,503.0,313.0,3.6,2
DBX,542.0,291.0,4.5,2
RAPIDE AMR,580.0,328.0,4.2,2
VANQUISH,580.0,324.0,3.6,2
LAGONDA TARAF,540.0,314.0,4.2,2
VICTOR,836.0,320.0,2.8,2
SIAN,819.0,350.0,2.8,2
AVENTADOR SVJ,759.0,350.0,2.8,2
HURACAN PERFORMANTE,640.0,325.0,2.9,2
HURACAN EVO,640.0,325.0,2.9,2
AVENTADOR SV,740.0,350.0,2.8,2
URUS ,641.0,305.0,3.6,2
HURACAN SPYDER,610.0,325.0,3.4,2
AVENTADOR ROADSTER,700.0,350.0,3.0,2
HURACAN  PERFORMANTE SPYDER,640.0,325.0,3.1,2
AVENTADOR S,740.0,350.0,2.9,2
HURACAN EVO SPYDER,640.0,325.0,3.1,2
